Date,Time,Location,Good_Group_Count,Evil_Group_Count,RaceWar_Side,Frag_Level,Frag_Class,Frag_Name,Frag_Guild,Frag_Race,Log_Number,Good Group,Good Group Logs,Evil Group,Evil Group Logs
06/05/24,A Gate Before a Large Mansion,1,1,Evils,37,Elementalist,Ifix,*-* Clan Ragnarok *-* ,Troll,298339,['[46 Shadowmage] Psybr o==(=Mithril=Knights=- (Gnome)'],['298338'],['[37 Elementalist] Ifix *-* Clan Ragnarok *-* (Troll)'],['298339']
06/04/24,A Long Tunnel Adorned with Mantol-Derith Scriptures,2,1,Evils,46,Elementalist,Zluag,*-* Clan Ragnarok *-* ,Troll,298337,"['[46 Earth Magus] Naj o==(=Mithril=Knights=- (Vampire)', '[46 Swordsman] Drok o==(=Mithril=Knights=- (Firbolg)']","['298332', '298333']",['[46 Elementalist] Zluag *-* Clan Ragnarok *-* (Troll)'],['298337']
06/04/24,Aboard the Destroyer HANSYNSLOS LEJON,1,1,Evils,46,Air Magus,Lielz,*-* Clan Ragnarok *-* ,Drow Elf,298331,['[46 Earth Magus] Zloin o==(=Mithril=Knights=- (Grey Elf)'],['298329'],['[46 Air Magus] Lielz *-* Clan Ragnarok *-* (Drow Elf)'],['298331']
06/04/24,The Great Choke of the Cavern Shizmaah,4,1,Evils,43,Elementalist,Zluag,*-* Clan Ragnarok *-* ,Troll,298328,"['[46 Shadowmage] Psybr o==(=Mithril=Knights=- (Gnome)', '[46 Dark Dreamer] Alls o==(=Mithril=Knights=- (Human)', '[46 Assassin] Tec ~<=Shadow Knights=>~ (Vampire)', '[46 Forest Druid] Rioss o==(=Mithril=Knights=- (Centaur)']","['298324', '298325', '298326', '298327']",['[43 Elementalist] Zluag *-* Clan Ragnarok *-* (Troll)'],['298328']
06/03/24,A Guest's Quarters,1,1,Goodies,35,Forest Druid,Grahk,o==(=Mithril=Knights=- ,Halfling,298323,['[35 Forest Druid] Grahk o==(=Mithril=Knights=- (Halfling)'],['298323'],['[46 Air Magus] Lielz *-* Clan Ragnarok *-* (Drow Elf)'],['298322']
06/03/24,Burnt Plains of a Fallen Realm,1,1,Evils,46,Scourge,Lodik,*-* Clan Ragnarok *-* ,Goblin,298321,['[46 Spiritualist] Kraz o==(=Mithril=Knights=- (Halfling)'],['298320'],['[46 Scourge] Lodik *-* Clan Ragnarok *-* (Goblin)'],['298321']
06/02/24,A Small Pier,1,5,Goodies,46,Spiritualist,Col,o==(=Mithril=Knights=- ,Grey Elf,298319,['[46 Spiritualist] Col o==(=Mithril=Knights=- (Grey Elf)'],['298319'],"['[46 Air Magus] Lielz *-* Clan Ragnarok *-* (Drow Elf)', '[46 MaUleR] Choro *-* Clan Ragnarok *-* (Duergar)', '[46 Demonic Rider] Kiria *-* Clan Ragnarok *-* (Githyanki)', '[46 Enslaver] Ra *-* Clan Ragnarok *-* (Githyanki)', '[46 Shadowmage] Syl *-* Clan Ragnarok *-* (Drider)']","['298312', '298313', '298314', '298315', '298317']"
06/02/24,Blierthro's Supplies,2,1,Evils,44,Shadowmage,Sha,*-* Clan Ragnarok *-* ,Drow Elf,298310,"['[44 Thief] Laz o==(=Mithril=Knights=- (Shade)', '[46 Spiritualist] Col o==(=Mithril=Knights=- (Grey Elf)']","['298300', '298301']",['[44 Shadowmage] Sha *-* Clan Ragnarok *-* (Drow Elf)'],['298310']
06/02/24,Fertile Grasslands of the Hearth Valley,1,1,Goodies,43,Storm Druid,Ico,~<=Shadow Knights=>~ ,Centaur,298299,['[43 Storm Druid] Ico ~<=Shadow Knights=>~ (Centaur)'],['298299'],['[44 Shadowmage] Sizan *-* Clan Ragnarok *-* (Vampire)'],['298297']
06/02/24,On the Murky Pond,1,1,Evils,10,Mercenary,Zorro, ,Orc,298296,['[45 Bounty Hunter] Dunga ~<=Shadow Knights=>~ (ShadowBeast)'],['298294'],['[10 Mercenary] Zorro  (Orc)'],['298296']
06/02/24,On the Prison Floor L4,2,1,Evils,34,Warrior,Moogrok,*-* Clan Ragnarok *-* ,Ogre,298292,"['[43 Thief] Laz o==(=Mithril=Knights=- (Shade)', '[45 Assassin] Tec ~<=Shadow Knights=>~ (Vampire)']","['298290', '298291']",['[34 Warrior] Moogrok *-* Clan Ragnarok *-* (Ogre)'],['298292']
