Date,Time,Location,Good_Group_Count,Evil_Group_Count,RaceWar_Side,Frag_Level,Frag_Class,Frag_Name,Frag_Guild,Frag_Race,Log_Number,Good Group,Good Group Logs,Evil Group,Evil Group Logs
01/02/25,The Beginning of Newhaven Way,1,1,Goodies,20,Psionicist,Grutap, ,Githzerai,302158,['[20 Psionicist] Grutap  (Githzerai)'],['302158'],['[32 Earth Magus] Zloin Brewed in Blood (Drow Elf)'],['302157']
01/02/25,The Waters of the Abyss,1,1,Goodies,17,Rogue,Jait, ,Vampire,302156,['[17 Rogue] Jait  (Vampire)'],['302156'],['[33 Shadowmage] Pok Brewed in Blood (Kobold)'],['302155']
01/02/25,Endless Plains of Grassy Pastures,1,2,Evils,33,Shadowmage,Nyx,Brewed in Blood ,Shade,302153,['[31 Forest Druid] Vokir < The Commonwealth > (Halfling)'],['302151'],"['[33 Elaphidist] Zephyr Brewed in Blood (Githyanki)', '[33 Shadowmage] Nyx Brewed in Blood (Shade)']","['302152', '302153']"
01/02/25,Endless Plains of Grassy Pastures,2,2,Goodies,32,Necrolyte,Tarx, ,Githzerai,302149,"['[32 Necrolyte] Tarx  (Githzerai)', '[30 Forest Druid] Vokir < The Commonwealth > (Halfling)']","['302149', '302150']","['[33 Elaphidist] Zephyr Brewed in Blood (Githyanki)', '[33 Shadowmage] Nyx Brewed in Blood (Shade)']","['302146', '302147']"
01/02/25,Small Cobblestone Road,1,1,Goodies,16,Rogue,Jait, ,Vampire,302145,['[16 Rogue] Jait  (Vampire)'],['302145'],['[33 Shadowmage] Pok Brewed in Blood (Kobold)'],['302144']
01/02/25,The Shallow Coastal Waters of Khomani-Khan,1,1,Goodies,32,Bounty Hunter,Javok,< The Commonwealth > ,ShadowBeast,302143,['[32 Bounty Hunter] Javok < The Commonwealth > (ShadowBeast)'],['302143'],['[33 Spiritualist] Col Brewed in Blood (Goblin)'],['302137']
01/02/25,The Waters of the Abyss,3,1,Evils,32,Guardian,Cis,Brewed in Blood ,Duergar,302135,"['[32 Cavalier] Kaene < The Commonwealth > (Githzerai)', '[32 Forest Druid] Morrigu < The Commonwealth > (Halfling)', '[31 Minstrel] Sadash < The Commonwealth > (Vampire)']","['302129', '302130', '302131']",['[32 Guardian] Cis Brewed in Blood (Duergar)'],['302135']
01/02/25,The Waters of the Abyss,2,1,Evils,33,Shadowmage,Nyx,Brewed in Blood ,Shade,302125,"['[32 Cavalier] Kaene < The Commonwealth > (Githzerai)', '[32 Forest Druid] Morrigu < The Commonwealth > (Halfling)']","['302120', '302121']",['[33 Shadowmage] Nyx Brewed in Blood (Shade)'],['302125']
01/02/25,The Village Leader's Hut,1,4,Goodies,26,Monk,Jubei,< The Commonwealth > ,Githzerai,302119,['[26 Monk] Jubei < The Commonwealth > (Githzerai)'],['302119'],"['[33 Shadowmage] Nyx Brewed in Blood (Shade)', '[33 Spiritualist] Col Brewed in Blood (Goblin)', '[32 Guardian] Cis Brewed in Blood (Duergar)', '[33 Elementalist] Beltorin Brewed in Blood (Shade)']","['302115', '302116', '302117', '302118']"
01/01/25,Rugged Hills of the Hearth Valley,5,1,Evils,33,Spiritualist,Col, ,Goblin,302112,"['[32 Forest Druid] Morrigu  (Halfling)', '[32 Bounty Hunter] Kiria  (Barbarian)', '[32 Forest Druid] Rioss  (Grey Elf)', '[32 Assassin] Fraglo  (Dwarf)', '[31 Spiritualist] Jai  (Grey Elf)']","['302105', '302106', '302107', '302108', '302109']",['[33 Spiritualist] Col  (Goblin)'],['302112']
